Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA TLX FWD A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MHNXV02.0AEC,small car,7,22,30,25,5,No,357
ACURA TLX Type-S,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MHNXV03.0GCC,small car,5,19,25,21,4,No,420
ACURA TLX Type-S,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MHNXV03.0GCC,small car,5,19,25,21,4,No,420
ACURA TLX Type-S Perf Tire,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MHNXV03.0GCC,small car,5,19,24,21,4,No,421
ACURA TLX Type-S Perf Tire,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MHNXV03.0GCC,small car,5,19,24,21,4,No,421
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MCRXJ02.05P2,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia,2,4,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MCRXJ02.05P2,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MCRXJ02.95P0,midsize car,3,17,25,20,4,No,436
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MCRXJ02.05P2,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MCRXJ02.05P2,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MCRXJ02.05P2,small SUV,3,22,29,25,5,No,359
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MCRXJ02.05P2,small SUV,3,22,29,25,5,No,359
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MCRXJ02.05P2,small SUV,3,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MCRXJ02.05P2,small SUV,3,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MCRXJ02.95P0,small SUV,3,17,23,19,3,No,463
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MCRXJ02.95P0,small SUV,3,17,23,19,3,No,463
ASTON MARTIN DB11 V12,5.2,12,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,MASXV05.2AM5,small car,3,15,22,18,3,No,497
ASTON MARTIN DB11 V12,5.2,12,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MASXV05.2AM5,small car,3,15,22,18,3,No,497
ASTON MARTIN DB11 V8,4,8,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,MASXV04.0AES,small car,3,18,24,20,4,No,431
ASTON MARTIN DB11 V8,4,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MASXV04.0AES,small car,3,18,24,20,4,No,431
ASTON MARTIN DBS,5.2,12,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,MASXV05.2AM5,small car,3,14,22,17,3,No,522
ASTON MARTIN DBS,5.2,12,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MASXV05.2AM5,small car,3,14,22,17,3,No,522
ASTON MARTIN DBX V8,4,8,Auto-9,4WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,MASXJ04.0AEX,standard SUV,3,14,18,15,2,No,572
ASTON MARTIN DBX V8,4,8,Auto-9,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MASXJ04.0AEX,standard SUV,3,14,18,15,2,No,572
ASTON MARTIN Vantage,4,8,SemiAuto-8,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,MASXV04.0AES,small car,3,18,24,20,4,No,435
ASTON MARTIN Vantage,4,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MASXV04.0AES,small car,3,18,24,20,4,No,435
ASTON MARTIN Vantage Manual,4,8,Man-7,2WD,Gasoline,CA,L2ULEV125,California LEV-II ULEV125,MASXV04.0AES,small car,3,14,21,17,3,No,541
ASTON MARTIN Vantage Manual,4,8,Man-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MASXV04.0AES,small car,3,14,21,17,3,No,541
AUDI A4,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV02.0A7E,small car,5,25,34,28,6,No,311
AUDI A4,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV02.0A7E,small car,5,25,34,28,6,No,311
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ02.0A7G,small car,5,24,31,27,6,No,331
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ02.0A7G,small car,5,24,31,27,6,No,331
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ02.0A7G,station wagon,5,24,30,26,5,No,335
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ02.0A7G,station wagon,5,24,30,26,5,No,335
AUDI A5,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ02.0A7G,small car,5,24,31,27,6,No,331
AUDI A5,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ02.0A7G,small car,5,24,31,27,6,No,331
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ02.0A7G,small car,5,23,31,26,5,No,341
AUDI A5 Cabriolet,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ02.0A7G,small car,5,23,31,26,5,No,341
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ02.0A7G,midsize car,5,24,31,27,6,No,331
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ02.0A7G,midsize car,5,24,31,27,6,No,331
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV02.0A7E,midsize car,5,25,34,28,6,No,311
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV02.0A7E,midsize car,5,25,34,28,6,No,311
AUDI A6,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ02.0A7G,midsize car,5,23,31,26,5,No,341
AUDI A6,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ02.0A7G,midsize car,5,23,31,26,5,No,341
AUDI A6,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV02.0A7M,midsize car,5,23,31,26,5,No,341
AUDI A6,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV02.0A7M,midsize car,5,23,31,26,5,No,341
AUDI A6,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV03.0N7N,midsize car,5,22,29,24,5,No,364
AUDI A6,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV03.0N7N,midsize car,5,22,29,24,5,No,364
AUDI A6 Allroad,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV03.0N7N,station wagon,5,20,26,22,4,No,398
AUDI A6 Allroad,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV03.0N7N,station wagon,5,20,26,22,4,No,398
AUDI A7,2,4,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MVGAJ02.0A3P,midsize car,7,26/64,34/74,29/68,10,Yes,139
AUDI A7,2,4,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MVGAJ02.0A3P,midsize car,7,26/64,34/74,29/68,10,Yes,139
AUDI A7,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV03.0N7N,midsize car,5,22,29,24,5,No,364
AUDI A7,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV03.0N7N,midsize car,5,22,29,24,5,No,364
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV03.0N7R,large car,5,17,26,21,4,No,430
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV03.0N7R,large car,5,17,26,21,4,No,430
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,MVGAV03.0NAP,large car,3,21/49,26/60,23/53,8,No,213
AUDI A8 L,3,6,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,MVGAV03.0NAP,large car,3,21/49,26/60,23/53,8,No,213
AUDI A8 L,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAJ04.0NAT,large car,3,15,23,18,3,No,495
AUDI A8 L,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAJ04.0NAT,large car,3,15,23,18,3,No,495
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVGAJ02.0A3T,small SUV,7,20,28,23,5,No,384
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVGAJ02.0A3T,small SUV,7,22,30,25,5,No,350
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVGAJ02.0A3T,small SUV,7,20,28,23,5,No,384
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVGAJ02.0A3T,small SUV,7,22,30,25,5,No,350
AUDI Q5,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ02.0A7G,small SUV,5,23,28,25,5,No,349
AUDI Q5,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ02.0A7G,small SUV,5,23,28,25,5,No,349
AUDI Q5,2,4,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,MVGAJ02.0A3P,small SUV,7,25/43,29/64,27/50,10,Yes,166
AUDI Q5,2,4,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,MVGAJ02.0A3P,small SUV,7,25/43,29/64,27/50,10,Yes,166
AUDI Q5 Sportback,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ02.0A7G,small SUV,5,23,28,25,5,No,349
AUDI Q5 Sportback,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ02.0A7G,small SUV,5,23,28,25,5,No,349
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAT02.0AA7,standard SUV,3,19,23,21,4,No,425
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAT02.0AA7,standard SUV,3,19,23,21,4,No,425
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAT03.0N7M,standard SUV,5,18,23,20,4,No,453
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAT03.0N7M,standard SUV,5,18,23,20,4,No,453
AUDI Q8,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAT03.0N7M,standard SUV,5,18,23,20,4,No,453
AUDI Q8,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAT03.0N7M,standard SUV,5,18,23,20,4,No,453
AUDI R8,5.2,10,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,MVGAV05.2NBE,small car,1,14,23,17,3,No,528
AUDI R8,5.2,10,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,MVGAV05.2NBE,small car,1,14,23,17,3,No,528
AUDI R8,5.2,10,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,MVGAV05.2NBE,small car,1,13,20,16,2,No,567
AUDI R8,5.2,10,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,MVGAV05.2NBE,small car,1,13,20,16,2,No,567
AUDI R8 Spyder,5.2,10,AMS-7,2WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,MVGAV05.2NBE,small car,1,14,23,17,3,No,528
AUDI R8 Spyder,5.2,10,AMS-7,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,MVGAV05.2NBE,small car,1,14,23,17,3,No,528
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,MVGAV05.2NBE,small car,1,13,20,16,2,No,567
AUDI R8 Spyder,5.2,10,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,MVGAV05.2NBE,small car,1,13,20,16,2,No,567
AUDI RS 5,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV02.9N7B,small car,5,18,25,20,4,No,432
AUDI RS 5,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV02.9N7B,small car,5,18,25,20,4,No,432
AUDI RS 5 Sportback,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV02.9N7B,midsize car,5,18,25,21,4,No,428
AUDI RS 5 Sportback,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV02.9N7B,midsize car,5,18,25,21,4,No,428
AUDI RS 6 Avant,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAJ04.0NAT,station wagon,3,15,22,17,3,No,514
AUDI RS 6 Avant,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAJ04.0NAT,station wagon,3,15,22,17,3,No,514
AUDI RS 7,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAJ04.0NAT,midsize car,3,15,22,17,3,No,507
AUDI RS 7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAJ04.0NAT,midsize car,3,15,22,17,3,No,507
AUDI RS Q8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAJ04.0NAT,standard SUV,3,13,19,15,2,No,579
AUDI RS Q8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAJ04.0NAT,standard SUV,3,13,19,15,2,No,579
AUDI S4,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ03.0N7F,small car,5,20,28,23,5,No,380
AUDI S4,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ03.0N7F,small car,5,20,28,23,5,No,380
AUDI S5,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ03.0N7F,small car,5,20,28,23,5,No,380
AUDI S5,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ03.0N7F,small car,5,20,28,23,5,No,380
AUDI S5 Cabriolet,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ03.0N7F,small car,5,20,26,22,4,No,393
AUDI S5 Cabriolet,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ03.0N7F,small car,5,20,26,22,4,No,393
AUDI S5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ03.0N7F,midsize car,5,20,28,23,5,No,380
AUDI S5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ03.0N7F,midsize car,5,20,28,23,5,No,380
AUDI S6,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV02.9N7S,midsize car,5,18,28,22,4,No,410
AUDI S6,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV02.9N7S,midsize car,5,18,28,22,4,No,410
AUDI S7,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAV02.9N7S,midsize car,5,18,28,22,4,No,410
AUDI S7,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAV02.9N7S,midsize car,5,18,28,22,4,No,410
AUDI S8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAJ04.0NAT,large car,3,13,22,16,2,No,545
AUDI S8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAJ04.0NAT,large car,3,13,22,16,2,No,545
AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ03.0N7F,small SUV,5,18,24,20,4,No,441
AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ03.0N7F,small SUV,5,18,24,20,4,No,441
AUDI SQ5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,MVGAJ03.0N7F,small SUV,5,18,24,20,4,No,441
AUDI SQ5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,MVGAJ03.0N7F,small SUV,5,18,24,20,4,No,441
AUDI SQ7,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAT04.0NAV,standard SUV,3,15,21,17,3,No,522
AUDI SQ7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAT04.0NAV,standard SUV,3,15,21,17,3,No,522
AUDI SQ8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAT04.0NAV,standard SUV,3,15,21,17,3,No,522
AUDI SQ8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAT04.0NAV,standard SUV,3,15,21,17,3,No,522
AUDI TT Coupe,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVGAJ02.0A3T,small car,7,23,31,26,5,No,344
AUDI TT Coupe,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVGAJ02.0A3T,small car,7,23,31,26,5,No,344
AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAV02.5NAG,small car,3,20,30,24,5,No,373
AUDI TT RS,2.5,5,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAV02.5NAG,small car,3,20,30,24,5,No,373
AUDI TT Roadster,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,MVGAJ02.0A3T,small car,7,23,31,26,5,No,344
AUDI TT Roadster,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,MVGAJ02.0A3T,small car,7,23,31,26,5,No,344
AUDI TTS Coupe,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAV02.0AAB,small car,3,23,29,25,5,No,354
AUDI TTS Coupe,2,4,AMS-7,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAV02.0AAB,small car,3,23,29,25,5,No,354
AUDI e-tron,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MVGAT00.0AZE,standard SUV,10,78,77,78,10,Elite,0
AUDI e-tron,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MVGAT00.0AZE,standard SUV,10,78,77,78,10,Elite,0
AUDI e-tron Sportback,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,MVGAT00.0AZE,standard SUV,10,76,78,77,10,Elite,0
AUDI e-tron Sportback,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,MVGAT00.0AZE,standard SUV,10,76,78,77,10,Elite,0
BENTLEY Bentayga,3,6,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,MVGAT03.0NAQ,standard SUV,3,17/44,21/49,19/46,7,No,256
BENTLEY Bentayga,3,6,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B125,Federal Tier 3 Bin 125,MVGAT03.0NAQ,standard SUV,3,17/44,21/49,19/46,7,No,256
BENTLEY Bentayga,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAT04.0PAA,standard SUV,3,15,24,18,3,No,497
BENTLEY Bentayga,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAT04.0PAA,standard SUV,3,15,24,18,3,No,497
BENTLEY Bentayga,6,12,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAT06.0EAR,standard SUV,3,12,18,14,1,No,616
BENTLEY Bentayga,6,12,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAT06.0EAR,standard SUV,3,12,18,14,1,No,616
BENTLEY Chiron,8,16,AMS-7,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,MVGAV08.0GLB,small car,1,9,14,11,1,No,840
BENTLEY Chiron,8,16,AMS-7,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,MVGAV08.0GLB,small car,1,9,14,11,1,No,840
BENTLEY Continental GT,4,8,AMS-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,MVGAV04.0PAA,small car,3,16,26,19,3,No,468
BENTLEY Continental GT,4,8,AMS-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,MVGAV04.0PAA,small car,3,16,26,19,3,No,468
